S.No.,H2,CH4,C2H6,C2H4,C2H2,Fault Category
62,54,0.01,0.01,4,0.01,OH
63,246,43,0.01,21,53,Normal
64,9474,40.02,353,6552,"12,997",PD
65,47,12,0.01,8,0.01,OH
66,32930,2397,157,-,-,PD
67,37800,1740,249,8,8,PD
68,92600,10200,-,-,-,PD
69,8266,1061,22,-,-,PD
70,9340,995,60,6,7,PD
71,36036,4704,554,5,10,PD
72,33046,619,58,2,-,PD
73,40280,1069,1060,1,1,PD
74,26788,18342,2111,27,-,PD
75,78,20,11,13,28,D1
76,305,100,33,161,541,D1
77,35,6,3,26,482,D1
78,543,120,41,411,1880,D1
79,1230,163,27,233,692,D1
80,645,86,13,110,317,D1
81,60,10,4,4,4,D1
82,95,10,-,11,39,D1
83,6870,1028,79,900,5500,D1
84,10092,5399,530,6500,37565,D1
85,650,81,170,51,270,D1
86,210,22,6,6,7,D1
87,385,60,8,53,159,D1
88,4230,690,5,196,1180,D1
89,7600,1230,318,836,1560,D1
90,595,80,9,89,244,D1
91,120,25,1,8,40,D1
92,8,-,-,43,101,D1
93,6454,2313,121,2159,6432,D1
94,2177,1049,207,440,705,D1
95,1790,580,321,336,619,D1
96,1330,10,20,66,182,D1
97,4,1,2,7,52,D1
98,1900,285,31,957,7730,D1
99,57,24,2,27,30,D1
100,1000,500,1,400,500,D1
101,440,89,19,304,757,D2
102,210,43,12,102,187,D2
103,2850,1115,138,1987,3675,D2
104,7020,1850,-,2960,4410,D2
105,545,130,16,153,239,D2
106,7150,1440,97,1210,1760,D2
107,620,325,38,181,244,D2
108,120,31,-,66,94,D2
109,755,229,32,404,460,D2
110,5100,1430,-,1140,1010,D2
111,13500,6110,212,4510,4040,D2
112,1570,1110,175,1780,1830,D2
113,3090,5020,323,3800,2540,D2
114,1820,405,35,365,634,D2
115,535,160,16,305,680,D2
116,13,3,1,3,6,D2
117,137,67,7,53,104,D2
118,1084,188,8,166,769,D2
119,34,21,4,49,56,D2
120,7940,2000,355,3120,5390,D2
121,150,130,9,55,30,D2
122,8200,3790,250,4620,5830,D2
123,260,215,35,334,277,D2
124,75,15,7,14,26,D2
125,530,345,85,266,250,D2
126,60,5,2,21,21,D2
127,90,28,8,31,32,D2
128,220,77,22,170,240,D2
129,5900,1500,68,1200,2300,D2
130,420,250,41,530,800,D2
131,2800,2800,234,3500,3600,D2
132,99,170,20,200,190,D2
133,310,230,54,610,760,D2
134,800,160,23,260,600,D2
135,1500,395,28,395,323,D2
136,20000,13000,1850,29000,57000,D2
137,305,85,25,197,130,D2
138,1900,530,35,383,434,D2
139,110,62,90,140,250,D2
140,3700,1690,128,2810,3270,D2
141,2770,660,54,712,763,D2
142,245,120,18,131,167,D2
143,1170,255,18,312,325,D2
144,4419,3564,668,2861,2025,D2
145,810,580,111,570,490,D2
146,5000,1200,83,1000,1100,D2
147,10000,6730,345,7330,10400,D2
148,1570,735,87,1330,1740,D2
149,1270,3450,520,1390,8,T1/T2
150,3420,7870,1500,6990,33,T1/T2
151,360,610,259,260,9,T1/T2
152,1,27,49,4,1,T1/T2
153,3675,6392,2500,7691,5,T1/T2
154,48,610,29,10,-,T1/T2
155,12,18,4,4,-,T1/T2
156,66,60,2,7,-,T1/T2
157,1450,940,211,322,61,T1/T2
158,18900,330,3900,410,540,T1/T2
159,960,4000,1290,1560,6,T1/T2
160,24700,61000,26300,42100,1560,T1/T2
161,14,44,124,7,1,T1/T2
162,2031,149,20,3,-,T1/T2
163,480,1075,298,1132,-,T1/T2
164,40000,400,70,600,6,T1/T2
165,8800,64064,72128,95650,-,T3
166,6709,10500,1400,17700,750,T3
167,1100,1600,221,2010,26,T3
168,290,966,299,1810,57,T3
169,2500,10500,4790,13500,6,T3
170,1860,4980,-,10700,1600,T3
171,860,1670,30,2050,40,T3
172,150,22,9,60,11,T3
173,400,940,210,820,24,T3
174,6,2990,29990,26076,67,T3
175,100,200,110,670,11,T3
176,290,1260,231,820,8,T3
177,1550,2740,816,5450,184,T3
178,3910,4290,626,6040,1230,T3
179,12705,23498,6047,34257,5188,T3
180,1,8,8,100,6,T3
181,300,700,280,1700,36,T3
182,107,143,34,222,2,T3
183,134,134,157,45,-,N
184,100,200,200,200,20,N
185,-,225,225,110,3,N
186,105,125,71,166,10,N
187,100,50,65,50,15,N
188,100,70,70,170,10,N
189,150,-,-,220,8,N
190,-,224,224,112,5,N
191,200,50,50,200,3,N
192,85,-,80,35,70,N
193,175,-,100,375,3,N
194,80,-,200,100,4,N
195,150,-,200,100,15,N
196,125,100,100,150,20,N
197,200,3,50,200,-,N
198,50,30,-,-,5,N
199,100,70,70,170,10,N
200,95,280,250,150,10,N
201,60,40,50,60,3,N
202,84,79,52,166,56,N
203,66,111,90,110,15,N
204,235,180,270,145,336,N
205,250,150,150,250,150,N
206,150,-,-,220,150,N
207,200,50,50,200,30,N
208,134,224,550,224,154,N
209,250,-,15,150,280,N
210,150,-,80,320,22,N
211,-,150,550,200,150,N
212,150,-,200,200,150,N
213,200,100,100,100,50,N
214,250,190,180,250,180,N
215,75,35,50,110,80,N
216,151,131,73,250,266,N
217,8288,1120,784,1344,19712,N
218,80,10,4,1.5,0,N
219,46.13,11.57,33.14,8.52,0.63,N
220,33.66,2.97,33.17,27.72,2.48,N
221,143.8,21.53,8.21,2.71,0.2,N
222,4.9,21,15,69.3,3.8,T1/T2
223,140,173,45,17,0,T1/T2
224,41.25,25.32,17.89,16.56,0,T1/T2
225,93,58,42,38,0,T1/T2
226,5.5,9.6,3.9,50,1.5,T1/T2
227,170,300,44,580,8.9,T3
228,180,340,52,6303,10,T3
229,17,21,11,145,4.1,T3
230,90,160,54,330,29,T3
231,45.8,63.2,20.1,129,0.66,T3
232,22.5,8.5,1.2,7.3,8.4,D1
233,31,6.6,4.7,19,67,D1
234,3.3,1.1,0.9,3.1,3.3,D1
235,45,15,1,19,18,D1
236,316,36.1,37.3,109,440,D1
237,139,52.2,6.8,62.8,9.6,D2
238,117,5.8,15.9,7,12.8,D2
239,421,135,27.7,351,374,D2
240,71.6,20.2,2.7,34.6,44.2,D2
241,730,750,190,1300,7,D2
242,43,36,41,47,13,D2
243,100,94,22,304,118,D2
244,44.6,5.2,7.24,0.56,12.59,PD
245,1651,90,33,45,2,PD
246,305,100,33,161,541,D1
247,35,6,3,26,482,D1
248,543,120,41,411,1880,D1
249,57,24,2,27,30,D1
250,1000,500,1,400,500,D1
251,440,89,19,304,757,D2
252,210,43,12,102,187,D2
253,2850,1115,138,1987,3675,D2
254,5000,1200,83,1000,1100,D2
255,"10,000",6730,345,7330,"10,400",D2
256,1570,735,87,1330,1740,D2
257,6709,"10,500",1400,"17,700",750,T3
258,290,966,299,1810,57,T3
259,2500,"10,500",4790,"13,500",6,T3
260,860,1670,30,2050,40,T3
261,107,143,34,222,2,T3
262,6729,323,2323,"45,353",2,D1
263,"10,000",800,222,9,40,D1
264,9900,780,150,10,35,D1
265,9823,707,231,8,4,D1
266,9531,744,220,8,7,D1
267,9840,788,225,9,40,D1
268,9032,785,219,12,38,D1
269,30,80,675,220,3,T1
270,4000,6076,4544,"23,232",2,T1
271,4317,5898,4781,"22,212",5,T1
272,4133,5902,4608,"20,449",4,T1
273,4051,5507,4330,"22,825",3,T1
274,4262,5856,4689,"22,286",2,T1
275,100,200,188,3222,1212,N
276,400,380,5800,400,2,N
277,100,40,2311,335,6,N
278,953,737,465,39,464,N
279,302,490,182,360,95,T2
280,32,2,1,1,0.05,PD1
281,13,9,41,6,0,N
282,156,128,97,35,0,T1
283,596,81,10,90,245,PD2
284,23,41,37,7,2,T1
285,1772,3631,1071,8481,79,T2
286,87,31,11,36,30,PD2
287,35,40,10,41,10,PD2
288,143,4,3,9,2,PD2
289,2587.2,7.882,4.7004,1.4,0,PD1
290,1676,653,81,1006,418,PD2
291,181,262,210,528,0,T2
292,181,176,76,51,5,T1
293,292.58,38.39,3.87,0.84,0,PD
294,522.2,43.21,16.73,1.02,1.01,PD
295,529.75,58.96,18.12,5.06,1.27,PD
296,2525.3,130.55,14.25,1.53,0,PD
297,3417.62,131.42,14.36,1.22,0,PD
298,5869.58,175.21,16.45,1.45,0,PD
299,4966.14,145.66,15.33,1.28,0,PD
300,292.58,38.39,3.87,0.84,0,PD
301,522.2,43.21,16.73,1.02,1.01,PD
302,529.75,58.96,18.12,5.06,1.27,PD
303,2525.3,130.55,14.25,1.53,0,PD
304,3417.62,131.42,14.36,1.22,0,PD
305,5869.58,175.21,16.45,1.45,0,PD
306,4966.14,145.66,15.33,1.28,0,PD
307,96,20.61,5.4,15.82,38.57,DI
308,89,20.01,6.16,16.36,39.4,DI
309,78,20,11,13,28,DI
310,305,100,33,161,541,DI
311,1230,163,27,233,692,DI
312,645,86,13,110,317,DI
313,95,10,0,11,39,DI
314,595,80,9,89,244,DI
315,1330,10,20,66,182,DI
316,134.78,34.7,4.5,40.54,94.1,D2
317,207.6,44.14,3.8,80.9,139,D2
318,440,89,19,304,757,D2
319,545,130,16,153,239,D2
320,7150,1440,97,1210,1760,D2
321,755,229,32,404,460,D2
322,1570,1110,175,1780,1830,D2
323,3090,5020,323,3800,2540,D2
324,1820,405,35,365,634,D2
325,260,215,35,334,277,D2
326,75,15,7,14,26,D2
327,60,5,2,21,21,D2
328,1500,395,28,395,323,D2
329,"20,000","13,000",1850,"29,000","57,000",D2
330,3700,1690,128,2810,3270,D2
331,2770,660,54,712,763,D2
332,1170,255,18,312,325,D2
333,6.82,10.13,3.81,74.85,0,T1/T2
334,14,33.3,8,20.1,0,T1/T2
335,87,223.6,49.6,121.1,0,T1/T2
336,78,196.3,46.1,109.3,0,T1/T2
337,22.04,171.05,91.29,182.04,0,T1/T2
338,1270,3450,520,1390,8,T1/T2
339,3420,7870,1500,6990,33,T1/T2
340,48,610,29,10,0,T1/T2
341,12,18,4,4,0,T1/T2
342,66,60,2,7,0,T1/T2
343,14,44,124,7,1,T1/T2
344,82.74,108.92,28.06,249.8,3.91,T3
345,3.11,6.61,3.23,36.43,0.26,T3
346,3.05,5.84,3.38,37.28,0.27,T3
347,3.82,7.93,3.37,52.68,0.13,T3
348,8800,"64,064","72,128","95,650",0,T3
349,6709,"10,500",1400,"17,700",750,T3
350,290,966,299,1810,57,T3
351,2500,"10,500",4790,"13,500",6,T3
352,400,940,210,820,24,T3
353,6,2990,"29,990","26,076",67,T3
354,290,1260,231,820,8,T3
355,107,143,34,222,2,T3
